               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.044485,             0.10117,            0.036825,              0.4369,             0.55896,             0.53934,             0.33104,            0.040554,             0.09135,            0.035771,            0.008812,            0.008812,            0.008812
                  38,            0.044307,             0.10575,            0.036543,             0.45732,             0.58224,             0.58511,                0.38,            0.037183,            0.086492,            0.033465,            0.008779,            0.008779,            0.008779
                  39,            0.043805,             0.10134,            0.035404,              0.5493,             0.58664,             0.63282,             0.39701,             0.03623,            0.085314,            0.031767,            0.008746,            0.008746,            0.008746
                  40,            0.042792,             0.10378,            0.034746,             0.55732,             0.59364,             0.65014,             0.44477,            0.033885,            0.082044,             0.03043,            0.008713,            0.008713,            0.008713
                  41,            0.043268,             0.10215,            0.033662,             0.57204,             0.61078,             0.65558,             0.42477,            0.037916,            0.084259,             0.03013,             0.00868,             0.00868,             0.00868
                  42,            0.043152,             0.10247,            0.033197,             0.61811,             0.61301,             0.66712,             0.44789,            0.034499,            0.081065,            0.029493,            0.008647,            0.008647,            0.008647
                  43,            0.041961,             0.10067,            0.032732,             0.64687,             0.63217,             0.68934,             0.48291,             0.03352,            0.082561,            0.028736,            0.008614,            0.008614,            0.008614
                  44,            0.041549,             0.10003,            0.032078,               0.619,             0.65479,             0.69461,             0.48859,            0.034284,            0.081611,            0.027409,            0.008581,            0.008581,            0.008581
                  45,            0.041574,            0.098406,            0.031745,              0.6302,             0.63626,             0.68377,              0.4673,            0.034985,            0.088045,            0.028027,            0.008548,            0.008548,            0.008548
                  46,            0.043664,             0.10401,            0.031017,             0.64962,             0.66055,             0.70352,             0.45366,            0.036414,             0.08255,            0.026752,            0.008515,            0.008515,            0.008515
                  47,            0.040711,            0.099793,            0.030407,             0.67577,             0.68284,             0.72419,             0.49117,            0.034419,            0.081291,            0.026246,            0.008482,            0.008482,            0.008482
                  48,            0.041193,            0.098512,            0.030126,              0.6827,             0.68684,             0.72764,             0.48416,            0.035462,            0.081956,             0.02592,            0.008449,            0.008449,            0.008449
                  49,            0.041459,             0.10027,            0.029768,             0.70142,             0.68004,             0.74568,             0.54973,            0.030973,            0.080553,            0.024584,            0.008416,            0.008416,            0.008416
                  50,            0.039944,             0.10019,            0.029102,             0.70057,             0.70243,             0.75827,             0.54693,            0.032235,            0.079165,            0.023866,            0.008383,            0.008383,            0.008383
                  51,             0.04057,            0.098161,            0.028687,             0.71662,             0.69754,             0.75778,             0.53197,            0.032492,            0.081036,            0.023924,             0.00835,             0.00835,             0.00835
                  52,            0.041835,             0.10014,            0.028426,             0.72298,             0.71172,             0.77825,             0.57506,            0.030991,            0.077618,            0.023018,            0.008317,            0.008317,            0.008317
                  53,            0.040773,            0.097641,            0.027884,             0.72658,             0.72759,             0.78089,             0.48599,            0.036075,            0.081806,            0.022656,            0.008284,            0.008284,            0.008284
                  54,            0.041755,            0.099334,              0.0278,             0.73862,             0.71416,             0.78619,             0.57865,            0.029929,            0.077149,             0.02218,            0.008251,            0.008251,            0.008251
                  55,            0.039569,            0.097774,            0.026927,             0.74824,             0.74251,             0.80488,             0.59668,            0.030556,            0.078643,            0.021253,            0.008218,            0.008218,            0.008218
                  56,            0.040315,             0.10008,            0.026936,             0.75127,             0.74141,             0.81028,             0.58529,            0.030838,            0.077857,            0.020758,            0.008185,            0.008185,            0.008185
                  57,            0.040607,            0.099118,            0.026233,             0.76184,             0.73446,             0.81276,             0.59902,            0.029805,             0.07759,            0.020248,            0.008152,            0.008152,            0.008152
                  58,            0.039621,            0.095708,            0.025928,             0.76664,             0.74977,             0.81597,              0.5135,             0.03712,            0.081554,            0.019959,            0.008119,            0.008119,            0.008119
                  59,            0.039165,            0.096527,            0.025458,              0.7684,             0.75845,             0.82786,              0.5929,            0.031348,             0.07738,            0.019578,            0.008086,            0.008086,            0.008086
                  60,            0.041072,            0.098807,            0.025599,             0.79152,             0.74859,             0.83179,             0.60164,            0.031058,            0.076857,            0.019109,            0.008053,            0.008053,            0.008053
                  61,            0.038327,            0.094068,            0.024891,             0.78774,             0.75503,             0.83591,             0.61835,            0.029374,            0.076014,            0.018708,             0.00802,             0.00802,             0.00802
                  62,            0.039162,            0.095782,            0.024871,             0.78969,             0.76375,             0.83919,              0.5442,            0.034081,            0.079146,            0.018289,            0.007987,            0.007987,            0.007987
                  63,            0.037938,            0.095075,            0.024396,             0.78159,             0.76918,             0.83868,             0.60568,             0.03042,            0.076159,            0.018131,            0.007954,            0.007954,            0.007954
                  64,            0.039215,            0.093863,            0.023845,             0.80384,             0.76479,              0.8482,             0.62619,            0.030029,            0.077546,             0.01782,            0.007921,            0.007921,            0.007921
                  65,            0.037746,             0.09479,            0.023709,             0.80376,             0.77412,             0.85131,             0.61885,            0.029247,            0.076583,            0.017499,            0.007888,            0.007888,            0.007888
                  66,              0.0376,            0.093889,            0.023252,              0.7819,             0.78667,              0.8533,             0.63699,            0.029791,            0.076404,            0.017251,            0.007855,            0.007855,            0.007855
                  67,            0.038145,            0.093191,            0.023272,             0.81268,             0.77991,             0.85959,             0.62555,            0.029306,            0.076091,            0.016905,            0.007822,            0.007822,            0.007822
