               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032513,           0.0081681,            0.011832,             0.81184,             0.77051,              0.8242,              0.5508,            0.023528,           0.0053598,            0.010519,            0.006535,            0.006535,            0.006535
                  37,             0.03246,           0.0078406,            0.011848,             0.80563,             0.72921,              0.8104,             0.53274,            0.024456,           0.0053827,            0.010647,            0.006436,            0.006436,            0.006436
                  38,            0.031309,           0.0079858,            0.011118,             0.77438,             0.73762,             0.82608,             0.52788,            0.025124,           0.0053401,            0.010154,            0.006337,            0.006337,            0.006337
                  39,            0.031775,           0.0079932,            0.010692,             0.89127,             0.74663,             0.84459,             0.55646,            0.024048,             0.00525,           0.0098285,            0.006238,            0.006238,            0.006238
                  40,            0.031541,            0.008125,            0.010584,             0.80744,              0.8057,             0.83756,             0.56209,            0.023516,           0.0050959,            0.009357,            0.006139,            0.006139,            0.006139
                  41,            0.031558,           0.0077916,             0.01076,             0.90614,             0.77136,             0.85591,             0.57095,            0.022883,            0.005159,            0.008799,             0.00604,             0.00604,             0.00604
                  42,            0.030725,           0.0077941,            0.010193,             0.84871,             0.81902,             0.87072,              0.5816,               0.022,           0.0050717,           0.0082068,            0.005941,            0.005941,            0.005941
                  43,             0.03018,           0.0077871,           0.0093598,             0.84648,             0.84533,              0.8881,              0.5737,            0.022853,           0.0050534,           0.0075045,            0.005842,            0.005842,            0.005842
                  44,            0.030839,           0.0076685,           0.0092432,             0.84759,             0.83022,             0.87514,             0.59049,            0.021876,           0.0051378,           0.0081357,            0.005743,            0.005743,            0.005743
                  45,            0.030176,           0.0077955,            0.008634,             0.90306,             0.77691,             0.86772,             0.57788,            0.022538,           0.0050927,           0.0072726,            0.005644,            0.005644,            0.005644
                  46,            0.030854,           0.0075903,           0.0096095,             0.83954,               0.848,             0.87377,             0.58075,            0.022429,           0.0053114,           0.0071878,            0.005545,            0.005545,            0.005545
                  47,            0.029776,           0.0075355,           0.0095388,             0.90537,             0.77154,              0.8728,             0.58077,            0.021844,           0.0050041,           0.0067706,            0.005446,            0.005446,            0.005446
                  48,            0.029532,           0.0074845,           0.0088158,             0.91751,             0.76839,             0.85733,             0.58475,            0.021869,           0.0050147,           0.0068723,            0.005347,            0.005347,            0.005347
                  49,            0.029861,           0.0076346,           0.0081946,             0.85773,               0.782,             0.85578,             0.58038,            0.022079,           0.0049713,           0.0062817,            0.005248,            0.005248,            0.005248
                  50,            0.028578,           0.0075027,           0.0085223,             0.83216,             0.84207,             0.86254,             0.58549,            0.021298,           0.0048979,           0.0065789,            0.005149,            0.005149,            0.005149
                  51,            0.029505,           0.0075425,            0.008395,              0.8465,             0.82099,             0.88716,             0.58744,            0.022113,           0.0049063,           0.0061009,             0.00505,             0.00505,             0.00505
                  52,            0.029035,           0.0073016,           0.0078972,             0.91921,             0.83202,              0.9124,             0.61482,            0.020996,           0.0047802,           0.0055327,            0.004951,            0.004951,            0.004951
                  53,            0.028796,           0.0072834,            0.008573,             0.83439,             0.84799,             0.89842,             0.61917,            0.020744,           0.0047404,           0.0053479,            0.004852,            0.004852,            0.004852
                  54,            0.028984,           0.0074896,           0.0077863,             0.88428,             0.81036,             0.88753,             0.60546,             0.02065,           0.0047895,           0.0050571,            0.004753,            0.004753,            0.004753
                  55,            0.028389,           0.0073437,           0.0075298,             0.87663,             0.86737,             0.91207,             0.62646,            0.020187,            0.004771,             0.00484,            0.004654,            0.004654,            0.004654
                  56,            0.027814,           0.0072571,           0.0070358,             0.91369,             0.80984,             0.90216,             0.61322,              0.0204,           0.0047144,           0.0046911,            0.004555,            0.004555,            0.004555
                  57,            0.028324,           0.0072781,           0.0077556,             0.93458,             0.78786,             0.91429,              0.6183,            0.020904,           0.0047039,            0.004555,            0.004456,            0.004456,            0.004456
                  58,            0.027961,            0.007079,            0.006966,             0.86665,             0.86872,             0.90917,             0.62412,             0.02087,           0.0048057,           0.0044392,            0.004357,            0.004357,            0.004357
                  59,            0.027617,            0.007142,           0.0067908,             0.87736,             0.85493,             0.90702,              0.6337,            0.019875,           0.0046674,           0.0038253,            0.004258,            0.004258,            0.004258
                  60,            0.027192,           0.0072367,           0.0070654,             0.84981,             0.88381,             0.92113,              0.6434,            0.019959,           0.0047295,           0.0037878,            0.004159,            0.004159,            0.004159
                  61,            0.027679,           0.0069861,           0.0068038,             0.87441,             0.88722,             0.91417,             0.61636,             0.02087,           0.0047881,           0.0042744,             0.00406,             0.00406,             0.00406
                  62,            0.027004,           0.0071262,           0.0061061,              0.8503,              0.8748,             0.91573,             0.63271,            0.020374,            0.004632,           0.0037748,            0.003961,            0.003961,            0.003961
                  63,            0.026969,           0.0071904,           0.0062087,             0.88298,             0.89357,             0.93336,             0.64106,            0.019606,           0.0045317,           0.0033662,            0.003862,            0.003862,            0.003862
                  64,            0.027329,           0.0070539,           0.0062604,             0.86005,             0.88719,             0.91818,             0.64613,            0.019635,           0.0046087,           0.0033851,            0.003763,            0.003763,            0.003763
                  65,            0.026431,           0.0068948,           0.0062145,             0.87359,             0.85389,             0.92232,             0.64322,            0.019669,           0.0045353,           0.0031311,            0.003664,            0.003664,            0.003664
                  66,            0.026635,           0.0068176,           0.0061439,              0.8731,             0.86778,             0.92137,             0.63309,             0.02031,           0.0045552,           0.0030151,            0.003565,            0.003565,            0.003565
                  67,            0.026113,            0.006756,           0.0058405,             0.88707,             0.89012,             0.93518,             0.66089,            0.018913,           0.0044341,           0.0029311,            0.003466,            0.003466,            0.003466
                  68,             0.02625,           0.0069444,           0.0061341,             0.92059,             0.89894,             0.94589,             0.66468,             0.01918,           0.0044192,           0.0026219,            0.003367,            0.003367,            0.003367
                  69,            0.026123,           0.0068587,           0.0055153,             0.88768,             0.90941,             0.94772,             0.67054,            0.018586,           0.0044501,           0.0025488,            0.003268,            0.003268,            0.003268
                  70,            0.025287,           0.0069612,           0.0053179,              0.8788,             0.91864,             0.94062,             0.66588,            0.018724,           0.0044844,           0.0025234,            0.003169,            0.003169,            0.003169
                  71,            0.025289,           0.0067321,            0.005339,             0.89038,             0.89943,             0.94131,             0.67263,            0.018512,           0.0043835,           0.0023743,             0.00307,             0.00307,             0.00307
                  72,            0.025564,           0.0068496,            0.005563,             0.88188,             0.91883,             0.93999,              0.6713,            0.018138,           0.0044156,           0.0024332,            0.002971,            0.002971,            0.002971
                  73,            0.025234,           0.0070104,           0.0053527,             0.86068,             0.89385,             0.93541,             0.67552,            0.018108,           0.0044076,           0.0024272,            0.002872,            0.002872,            0.002872
                  74,             0.02522,           0.0066863,           0.0051674,             0.92227,             0.91123,             0.94386,             0.66749,            0.018374,            0.004337,           0.0022521,            0.002773,            0.002773,            0.002773
                  75,            0.024851,            0.006527,           0.0051707,             0.90818,             0.90309,             0.95303,             0.67406,             0.01815,           0.0043033,           0.0020034,            0.002674,            0.002674,            0.002674
                  76,            0.025371,           0.0066749,           0.0049727,             0.87175,             0.91116,             0.93796,             0.66833,            0.018255,           0.0043383,           0.0019037,            0.002575,            0.002575,            0.002575
                  77,            0.024127,           0.0065592,           0.0049115,             0.91099,             0.90375,             0.94738,             0.68341,             0.01749,           0.0043427,           0.0020129,            0.002476,            0.002476,            0.002476
                  78,            0.025012,           0.0066554,           0.0047188,             0.91651,             0.90242,             0.94804,             0.67394,            0.017819,           0.0043002,           0.0017176,            0.002377,            0.002377,            0.002377
                  79,            0.024242,           0.0064742,           0.0046473,             0.89834,             0.93199,             0.96225,             0.68723,            0.017883,            0.004327,           0.0017195,            0.002278,            0.002278,            0.002278
                  80,            0.024077,           0.0066404,           0.0046534,             0.92377,             0.92267,             0.95994,             0.69401,            0.017179,           0.0042027,           0.0017429,            0.002179,            0.002179,            0.002179
                  81,            0.024548,           0.0065491,           0.0044205,             0.89122,              0.9168,             0.95228,             0.68652,            0.017274,           0.0042132,           0.0017862,             0.00208,             0.00208,             0.00208
                  82,            0.024072,           0.0065525,           0.0046752,             0.89425,             0.91368,             0.95105,             0.69469,            0.017522,           0.0042122,           0.0018611,            0.001981,            0.001981,            0.001981
                  83,            0.023988,             0.00659,           0.0046694,             0.88779,             0.91713,             0.96109,             0.69684,            0.016844,           0.0041625,           0.0017143,            0.001882,            0.001882,            0.001882
                  84,            0.023768,           0.0064766,           0.0043557,             0.91938,              0.9217,             0.96122,             0.70847,             0.01649,           0.0041488,           0.0013992,            0.001783,            0.001783,            0.001783
                  85,            0.023618,           0.0063468,           0.0040336,             0.94211,             0.90935,             0.96342,             0.69658,            0.016696,           0.0041391,           0.0013021,            0.001684,            0.001684,            0.001684
                  86,            0.023042,            0.006681,           0.0040968,              0.9266,              0.9323,             0.95542,             0.70562,            0.016398,           0.0040757,           0.0014882,            0.001585,            0.001585,            0.001585
                  87,            0.023123,           0.0065404,           0.0042704,             0.93186,             0.91565,             0.96378,             0.70886,            0.016487,           0.0041064,           0.0013795,            0.001486,            0.001486,            0.001486
                  88,            0.023174,            0.006453,           0.0038517,             0.92982,             0.92596,             0.96283,             0.70328,            0.016693,           0.0041084,           0.0012449,            0.001387,            0.001387,            0.001387
                  89,            0.022568,            0.006411,           0.0036735,              0.9006,             0.93896,             0.96386,             0.71605,            0.016058,           0.0040556,           0.0012224,            0.001288,            0.001288,            0.001288
                  90,            0.023105,           0.0064217,           0.0038135,             0.93229,             0.93884,             0.96992,              0.7201,            0.015928,           0.0040345,           0.0011498,            0.001189,            0.001189,            0.001189
                  91,            0.022485,           0.0064161,            0.003683,             0.91318,             0.94197,             0.96109,             0.71965,            0.015906,           0.0040415,           0.0011466,             0.00109,             0.00109,             0.00109
                  92,            0.022463,           0.0063577,           0.0038246,             0.89772,             0.93166,             0.95627,             0.70204,            0.016366,           0.0040409,           0.0012491,            0.000991,            0.000991,            0.000991
                  93,            0.022584,           0.0064281,           0.0035096,             0.92576,             0.94603,             0.96985,             0.72802,            0.015872,           0.0040006,           0.0011246,            0.000892,            0.000892,            0.000892
                  94,            0.022143,           0.0062777,           0.0038601,             0.91578,             0.94447,              0.9707,             0.72084,            0.015849,           0.0040019,           0.0010946,            0.000793,            0.000793,            0.000793
                  95,             0.02228,           0.0060871,           0.0037751,             0.91049,             0.93865,             0.96664,             0.72535,             0.01565,           0.0040155,           0.0010831,            0.000694,            0.000694,            0.000694
                  96,             0.02148,           0.0060736,           0.0036445,              0.9163,             0.94556,             0.97146,             0.72356,            0.015482,           0.0040025,           0.0010779,            0.000595,            0.000595,            0.000595
                  97,            0.022197,           0.0061913,           0.0032716,             0.91871,             0.93631,             0.96825,             0.72891,            0.015436,           0.0039685,           0.0010347,            0.000496,            0.000496,            0.000496
                  98,            0.021582,           0.0063294,           0.0038165,             0.91922,             0.94191,             0.96785,             0.72574,            0.015513,           0.0039355,           0.0010563,            0.000397,            0.000397,            0.000397
                  99,            0.021445,           0.0062345,            0.003646,             0.92315,             0.94529,              0.9707,              0.7276,            0.015417,           0.0039574,          0.00097739,            0.000298,            0.000298,            0.000298
