               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030626,           0.0086528,            0.010465,             0.86448,             0.73986,             0.84421,             0.58358,            0.025945,           0.0055967,           0.0086511,            0.008845,            0.008845,            0.008845
                  37,            0.030475,           0.0083874,            0.010316,             0.90463,             0.78212,             0.86406,             0.57999,            0.024353,           0.0049614,           0.0076467,            0.008812,            0.008812,            0.008812
                  38,            0.030832,           0.0087083,           0.0099591,             0.89885,             0.83007,             0.90452,             0.59872,            0.024724,           0.0049922,           0.0068061,            0.008779,            0.008779,            0.008779
                  39,            0.030238,           0.0084933,           0.0099905,             0.90491,             0.82078,              0.9033,             0.56927,            0.025573,           0.0050549,            0.006259,            0.008746,            0.008746,            0.008746
                  40,            0.030703,           0.0084452,           0.0098589,             0.90625,             0.81398,             0.90248,             0.55835,            0.025687,           0.0050604,           0.0060747,            0.008713,            0.008713,            0.008713
                  41,            0.029965,           0.0087811,            0.008965,             0.89959,             0.81742,             0.90893,             0.62145,            0.023118,           0.0049564,           0.0060605,             0.00868,             0.00868,             0.00868
                  42,            0.029316,           0.0084599,             0.00848,             0.92005,             0.83248,             0.91229,             0.61167,            0.023236,           0.0048458,           0.0052249,            0.008647,            0.008647,            0.008647
                  43,            0.029481,           0.0082971,           0.0089392,             0.90962,             0.81723,             0.90068,             0.54763,            0.026029,           0.0051735,           0.0059472,            0.008614,            0.008614,            0.008614
                  44,            0.029507,           0.0082911,           0.0084201,             0.91213,             0.84041,             0.91966,             0.63693,             0.02205,           0.0045793,            0.004618,            0.008581,            0.008581,            0.008581
                  45,            0.029724,           0.0083339,           0.0082936,             0.91593,             0.84274,             0.92486,             0.61916,            0.022683,           0.0048803,           0.0049787,            0.008548,            0.008548,            0.008548
                  46,            0.029647,           0.0082691,           0.0081186,             0.90421,             0.85835,             0.93281,             0.59348,            0.026017,           0.0052752,           0.0045261,            0.008515,            0.008515,            0.008515
                  47,            0.029188,           0.0081918,           0.0078886,             0.88984,             0.85179,             0.92123,             0.62694,            0.023329,           0.0048706,           0.0051361,            0.008482,            0.008482,            0.008482
                  48,            0.029306,           0.0081417,           0.0083676,             0.89152,              0.8707,             0.93109,             0.62334,            0.022899,           0.0047336,           0.0046623,            0.008449,            0.008449,            0.008449
                  49,              0.0288,           0.0079527,           0.0078238,             0.86344,             0.85251,             0.90866,             0.64095,            0.022295,           0.0047089,           0.0060605,            0.008416,            0.008416,            0.008416
                  50,            0.028693,           0.0080501,           0.0075659,             0.88339,             0.84211,             0.91592,             0.63358,            0.022736,           0.0048421,           0.0043799,            0.008383,            0.008383,            0.008383
                  51,            0.028493,           0.0078969,           0.0074082,             0.90594,             0.82331,             0.90438,             0.59039,            0.024263,           0.0050064,           0.0046437,             0.00835,             0.00835,             0.00835
                  52,            0.028505,           0.0078652,           0.0075776,             0.90476,             0.84386,             0.92586,             0.63153,            0.023738,           0.0048994,           0.0043464,            0.008317,            0.008317,            0.008317
                  53,            0.028476,           0.0080845,           0.0072307,             0.91159,             0.85859,              0.9363,             0.63505,            0.023224,           0.0050472,           0.0034394,            0.008284,            0.008284,            0.008284
                  54,            0.027828,           0.0079233,           0.0066354,             0.93809,             0.87384,             0.95511,             0.68353,            0.020932,           0.0046132,           0.0029393,            0.008251,            0.008251,            0.008251
                  55,            0.028095,           0.0079031,           0.0068332,             0.92194,             0.90736,             0.95623,             0.65166,            0.021241,            0.004566,           0.0029387,            0.008218,            0.008218,            0.008218
                  56,            0.027637,           0.0078792,           0.0067173,             0.92939,              0.9009,             0.95253,             0.66306,            0.021889,           0.0045753,           0.0028788,            0.008185,            0.008185,            0.008185
                  57,            0.027618,           0.0077965,           0.0068445,             0.89961,             0.88631,               0.949,             0.68595,            0.021126,           0.0044254,           0.0035066,            0.008152,            0.008152,            0.008152
                  58,            0.027448,           0.0078784,           0.0063494,             0.87464,             0.89709,             0.93815,             0.65374,            0.020958,           0.0046954,           0.0051733,            0.008119,            0.008119,            0.008119
